GEO,POB,SEX,LMS,ROY,COC,AGE,TIME,PROVIDER,VALUE,FLAGS,FOOTNOTES
DE21F,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,82168,,,
DE21G,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,87937,,,
DE21H,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,259157,,,
DE21I,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,78088,,,
DE21J,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,101261,,,
DE21K,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,212411,,,
DE21L,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,107525,,,
DE21M,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,141515,,,
DE21N,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,113459,,,
DE22,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1019950,,,
DE221,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,48044,,,
DE222,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,39982,,,
DE223,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,34657,,,
DE224,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,99159,,,
DE225,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,72771,,,
DE226,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,98440,,,
DE227,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,128707,,,
DE228,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,163519,,,
DE229,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,70918,,,
DE22A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,101796,,,
DE22B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,86643,,,
DE22C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,75314,,,
DE23,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,940674,,,
DE231,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,32530,,,
DE232,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,105672,,,
DE233,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,34511,,,
DE234,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,93714,,,
DE235,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,114617,,,
DE236,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,114019,,,
DE237,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,88144,,,
DE238,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,160337,,,
DE239,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,128042,,,
DE23A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,69088,,,
DE24,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,936728,,,
DE241,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,58349,,,
DE242,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,56409,,,
DE243,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,33166,,,
DE244,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,36257,,,
DE245,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,132005,,,
DE246,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,96293,,,
DE247,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,78178,,,
DE248,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,101755,,,
DE249,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,89361,,,
DE24A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,64450,,,
DE24B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,66504,,,
DE24C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,59992,,,
DE24D,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,64009,,,
DE25,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1369983,,,
DE251,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,31168,,,
DE252,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,81014,,,
DE253,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,87540,,,
